Experiment name:,NeuLog experiment
Duration:, 10 0
Rate:, 20 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S
Units:, \xc2\xb5S
Time
'0:00,2.9013
'0:00.05,2.8952
'0:00.1,2.8871
'0:00.15,2.8780
'0:00.2,2.8687
'0:00.25,2.8603
'0:00.3,2.8527
'0:00.35,2.8458
'0:00.4,2.8396
'0:00.45,2.8369
'0:00.5,2.8403
'0:00.55,2.8454
'0:00.6,2.8458
'0:00.65,2.8415
'0:00.7,2.8337
'0:00.75,2.8245
'0:00.8,2.8168
'0:00.85,2.8123
'0:00.9,2.8095
'0:00.95,2.8086
'0:01,2.8129
'0:01.05,2.8175
'0:01.1,2.8157
'0:01.15,2.8107
'0:01.2,2.8064
'0:01.25,2.8023
'0:01.3,2.7978
'0:01.35,2.7933
'0:01.4,2.7892
'0:01.45,2.7863
'0:01.5,2.7843
'0:01.55,2.7845
'0:01.6,2.7867
'0:01.65,2.7870
'0:01.7,2.7843
'0:01.75,2.7816
'0:01.8,2.7787
'0:01.85,2.7764
'0:01.9,2.7726
'0:01.95,2.7679
'0:02,2.7657
'0:02.05,2.7691
'0:02.1,2.7793
'0:02.15,2.7921
'0:02.2,2.8005
'0:02.25,2.8018
'0:02.3,2.7980
'0:02.35,2.7928
'0:02.4,2.7901
'0:02.45,2.7930
'0:02.5,2.7960
'0:02.55,2.7930
'0:02.6,2.7870
'0:02.65,2.7823
'0:02.7,2.7809
'0:02.75,2.7809
'0:02.8,2.7785
'0:02.85,2.7708
'0:02.9,2.7582
'0:02.95,2.7446
'0:03,2.7343
'0:03.05,2.7275
'0:03.1,2.7244
'0:03.15,2.7242
'0:03.2,2.7262
'0:03.25,2.7292
'0:03.3,2.7303
'0:03.35,2.7297
'0:03.4,2.7286
'0:03.45,2.7273
'0:03.5,2.7259
'0:03.55,2.7248
'0:03.6,2.7235
'0:03.65,2.7226
'0:03.7,2.7216
'0:03.75,2.7202
'0:03.8,2.7189
'0:03.85,2.7137
'0:03.9,2.7030
'0:03.95,2.6930
'0:04,2.6872
'0:04.05,2.6833
'0:04.1,2.6803
'0:04.15,2.6784
'0:04.2,2.6771
'0:04.25,2.6779
'0:04.3,2.6805
'0:04.35,2.6771
'0:04.4,2.6708
'0:04.45,2.6683
'0:04.5,2.6661
'0:04.55,2.6644
'0:04.6,2.6627
'0:04.65,2.6610
'0:04.7,2.6593
'0:04.75,2.6576
'0:04.8,2.6559
'0:04.85,2.6542
'0:04.9,2.6527
'0:04.95,2.6512
'0:05,2.6493
'0:05.05,2.6478
'0:05.1,2.6461
'0:05.15,2.6446
'0:05.2,2.6431
'0:05.25,2.6416
'0:05.3,2.6403
'0:05.35,2.6386
'0:05.4,2.6372
'0:05.45,2.6357
'0:05.5,2.6340
'0:05.55,2.6323
'0:05.6,2.6308
'0:05.65,2.6293
'0:05.7,2.6277
'0:05.75,2.6262
'0:05.8,2.6245
'0:05.85,2.6232
'0:05.9,2.6220
'0:05.95,2.6203
'0:06,2.6186
'0:06.05,2.6171
'0:06.1,2.6157
'0:06.15,2.6142
'0:06.2,2.6125
'0:06.25,2.6111
'0:06.3,2.6096
'0:06.35,2.6081
'0:06.4,2.6069
'0:06.45,2.6054
'0:06.5,2.6039
'0:06.55,2.6025
'0:06.6,2.6010
'0:06.65,2.5998
'0:06.7,2.5985
'0:06.75,2.5973
'0:06.8,2.5962
'0:06.85,2.5950
'0:06.9,2.5939
'0:06.95,2.5929
'0:07,2.5917
'0:07.05,2.5906
'0:07.1,2.5898
'0:07.15,2.5890
'0:07.2,2.5881
'0:07.25,2.5873
'0:07.3,2.5865
'0:07.35,2.5856
'0:07.4,2.5848
'0:07.45,2.5840
'0:07.5,2.5832
'0:07.55,2.5821
'0:07.6,2.5813
'0:07.65,2.5807
'0:07.7,2.5796
'0:07.75,2.5786
'0:07.8,2.5776
'0:07.85,2.5767
'0:07.9,2.5759
'0:07.95,2.5749
'0:08,2.5739
'0:08.05,2.5728
'0:08.1,2.5718
'0:08.15,2.5710
'0:08.2,2.5699
'0:08.25,2.5689
'0:08.3,2.5677
'0:08.35,2.5666
'0:08.4,2.5654
'0:08.45,2.5644
'0:08.5,2.5634
'0:08.55,2.5623
'0:08.6,2.5611
'0:08.65,2.5601
'0:08.7,2.5590
'0:08.75,2.5580
'0:08.8,2.5570
'0:08.85,2.5560
'0:08.9,2.5551
'0:08.95,2.5541
'0:09,2.5533
'0:09.05,2.5523
'0:09.1,2.5515
'0:09.15,2.5509
'0:09.2,2.5500
'0:09.25,2.5492
'0:09.3,2.5486
'0:09.35,2.5478
'0:09.4,2.5470
'0:09.45,2.5464
'0:09.5,2.5457
'0:09.55,2.5451
'0:09.6,2.5445
